Date,Open,High,Low,Close,Volume,Adj Close
2013-08-26,500.75,510.20,500.50,502.97,11745900,502.97
2013-08-19,504.34,513.74,498.20,501.02,11927500,501.02
2013-08-12,456.86,504.25,456.63,502.33,20395300,502.33
2013-08-05,464.69,471.89,453.65,454.45,10537200,454.45
2013-07-29,440.80,462.85,440.20,462.54,9724800,459.51
2013-07-22,429.46,444.59,418.71,440.99,11419800,438.10
2013-07-15,425.01,434.87,424.17,424.95,8178900,422.16
2013-07-08,420.11,429.79,410.38,426.51,10985600,423.71
2013-07-01,402.69,423.29,401.22,417.42,12284500,414.68
2013-06-24,407.40,408.66,388.87,396.53,14845600,393.93
2013-06-17,431.44,435.70,408.10,413.50,11455700,410.79
2013-06-10,444.73,449.08,428.50,430.05,11137000,427.23
2013-06-03,450.73,454.43,432.77,441.81,12693800,438.91
2013-05-28,449.90,457.10,439.40,449.73,12987000,446.78
2013-05-20,431.91,448.35,430.10,445.15,14141600,442.23
2013-05-13,451.51,457.90,418.90,433.26,18119900,430.42
2013-05-06,455.71,465.75,450.48,452.97,15616600,450.00
2013-04-29,420.45,453.23,420.00,449.98,18727800,444.09
2013-04-22,392.64,418.77,391.27,417.20,22948100,411.74
2013-04-15,427.00,427.89,385.10,390.53,20313700,385.42
2013-04-08,424.85,437.99,422.49,429.80,11073900,424.17
2013-04-01,441.90,443.70,419.68,423.20,14461500,417.66
2013-03-25,464.69,469.95,441.62,442.66,14013400,436.86
2013-03-18,441.45,462.10,441.20,461.91,15857100,455.86
2013-03-11,429.75,444.23,425.14,443.66,16382300,437.85
2013-03-04,427.80,435.43,419.00,431.72,18152800,426.07
2013-02-25,453.85,455.12,429.98,430.47,16688500,424.83
2013-02-19,461.10,462.73,442.82,450.81,15088600,444.91
2013-02-11,476.50,484.94,459.92,460.16,16776900,454.14
2013-02-04,453.91,478.81,442.00,474.98,21299300,468.76
2013-01-28,437.83,462.60,435.86,453.62,18804600,445.09
2013-01-22,504.56,514.99,435.00,439.88,35642200,431.61
2013-01-14,502.68,510.75,483.38,500.00,23059900,490.59
2013-01-07,522.00,531.89,515.20,520.30,16443700,510.51
2012-12-31,510.53,555.00,509.00,527.00,19350900,517.09
2012-12-24,520.35,524.25,504.66,509.59,11496300,500.00
2012-12-17,508.93,534.90,501.23,519.33,20790100,509.56
2012-12-10,525.00,549.56,505.58,509.79,23891500,500.20
2012-12-03,593.65,594.59,518.63,533.25,28073100,523.22
2012-11-26,575.90,594.25,572.26,585.28,18505600,574.27
2012-11-19,540.71,572.00,539.88,571.50,18856200,560.75
2012-11-12,554.15,554.50,505.75,527.68,25590900,517.75
2012-11-05,583.52,590.74,533.72,547.06,26312500,536.77
2012-10-31,594.88,603.00,574.75,576.80,17508000,563.38
2012-10-22,612.42,635.38,591.00,604.00,24908300,589.94
2012-10-15,632.35,652.79,609.62,609.84,18514400,595.65
2012-10-08,646.88,647.56,623.55,629.71,21378800,615.06
2012-10-01,671.16,676.75,650.65,652.59,18290000,637.40
2012-09-24,686.86,695.12,660.35,667.10,20459000,651.58
2012-09-17,699.35,705.07,693.62,700.09,14332600,683.80
2012-09-10,680.45,696.98,656.00,691.28,20736000,675.19
2012-09-04,665.76,682.48,664.50,680.44,12724300,664.61
2012-08-27,679.99,680.87,657.25,665.24,10987500,649.76
2012-08-20,650.01,674.88,648.11,663.22,20349200,647.79
2012-08-13,623.39,648.19,623.25,648.11,11240200,633.03
2012-08-06,617.29,625.00,615.26,621.70,8955900,607.23
2012-07-30,590.92,617.98,587.82,615.70,13593200,598.80
2012-07-23,594.40,609.68,570.00,585.16,19578500,569.10
2012-07-16,605.12,615.35,603.15,604.30,12013700,587.71
2012-07-09,605.30,619.87,592.68,604.97,15001100,588.37
2012-07-02,584.73,614.34,583.60,605.88,13795700,589.25
2012-06-25,577.30,584.00,565.61,584.00,10630300,567.97
2012-06-18,570.96,590.00,570.37,582.10,12654100,566.12
2012-06-11,587.72,588.50,566.70,574.13,14293200,558.37
2012-06-04,561.50,580.58,548.50,580.32,14813900,564.39
2012-05-29,570.90,581.50,560.52,560.99,17166000,545.59
2012-05-21,534.50,576.50,534.05,562.29,19540000,546.86
2012-05-14,562.57,567.51,522.18,530.38,20281200,515.82
2012-05-07,561.50,575.88,558.73,566.71,15505800,551.16
2012-04-30,597.80,598.40,565.17,565.25,17607600,549.74
2012-04-23,570.61,618.00,555.00,603.00,27794600,586.45
2012-04-16,610.06,620.25,570.42,572.98,34975300,557.25
2012-04-09,626.13,644.00,603.51,605.23,26127500,588.62
2012-04-02,601.83,634.66,600.38,633.68,23635600,616.29
2012-03-26,599.79,621.45,595.26,599.55,22840000,583.09
2012-03-19,598.37,609.65,589.05,596.05,24402100,579.69
2012-03-12,548.98,600.01,547.00,585.57,32158400,569.50
2012-03-05,545.42,547.74,516.22,545.17,23951800,530.21
2012-02-27,521.31,548.21,516.28,545.18,22964000,530.22
2012-02-21,506.88,522.90,504.12,522.41,18499900,508.07
2012-02-13,499.53,526.29,486.63,502.12,28314900,488.34
2012-02-06,458.38,497.62,458.20,493.42,17778800,479.88
2012-01-30,445.71,460.00,445.39,459.68,10817600,447.06
2012-01-23,422.67,454.45,419.55,447.28,17397900,435.00
2012-01-17,424.20,431.37,419.75,420.30,10673200,408.76
2012-01-09,425.50,427.75,418.66,419.81,9327900,408.29
2012-01-03,409.40,422.75,409.00,422.40,10283900,410.81
2011-12-27,403.10,409.09,400.51,405.00,7940800,393.88
2011-12-19,382.47,403.59,380.48,403.33,9338900,392.26
2011-12-12,391.68,395.40,377.68,381.02,12318300,370.56
2011-12-05,393.49,396.41,386.76,393.62,11563600,382.82
2011-11-28,372.35,393.63,370.20,389.70,13531700,379.00
2011-11-21,370.40,377.93,363.32,363.57,13750300,353.59
2011-11-14,383.52,391.14,374.88,374.94,14748300,364.65
2011-11-07,399.91,408.00,380.26,384.62,18771000,374.06
2011-10-31,402.42,409.33,393.22,400.24,14208300,389.25
2011-10-24,396.18,409.00,393.15,404.95,15759800,393.84
2011-10-17,421.74,426.70,390.75,392.87,27444400,382.09
2011-10-10,379.09,422.00,378.21,422.00,19071700,410.42
2011-10-03,380.37,384.78,354.24,369.80,28837700,359.65
2011-09-26,399.86,409.25,381.18,381.32,21955200,370.85
2011-09-19,397.00,422.86,395.20,404.30,26573900,393.20
2011-09-12,373.00,400.50,371.90,400.50,18281700,389.51
2011-09-06,367.37,388.61,366.48,377.48,16439700,367.12
2011-08-29,388.18,392.08,371.83,374.05,15203100,363.78
2011-08-22,364.51,383.80,355.09,383.58,23794500,373.05
2011-08-15,379.63,384.97,356.00,356.03,21633400,346.26
2011-08-08,361.69,379.64,353.02,376.99,31257200,366.64
2011-08-01,397.78,399.50,362.57,373.62,29006300,363.37
2011-07-25,390.35,404.50,384.00,390.48,21088000,379.76
2011-07-18,365.43,396.27,365.28,393.30,24117100,382.51
2011-07-11,356.34,365.00,348.62,364.92,15720800,354.90
2011-07-05,343.00,360.00,342.50,359.71,15082700,349.84
2011-06-27,327.59,343.50,327.25,343.26,12463700,333.84
2011-06-20,317.36,333.15,310.50,326.35,18029800,317.39
2011-06-13,326.60,333.25,318.33,320.26,15635900,311.47
2011-06-06,345.70,347.05,325.51,325.90,14532100,316.96
2011-05-31,341.10,352.13,341.00,343.44,14504200,334.01
2011-05-23,329.97,338.56,329.42,337.41,10185000,328.15
2011-05-16,339.20,342.41,330.73,335.22,13114400,326.02
2011-05-09,347.86,350.00,340.35,340.50,10506800,331.15
2011-05-02,349.74,351.83,345.50,346.66,12581500,337.15
2011-04-25,350.34,354.99,345.52,350.13,16634700,340.52
2011-04-18,326.10,355.13,320.16,350.70,22176300,341.07
2011-04-11,334.06,336.14,326.80,327.46,13758600,318.47
2011-04-04,344.31,344.60,333.95,335.06,14973800,325.86
2011-03-28,353.15,354.32,343.30,344.56,12031000,335.10
2011-03-21,335.99,352.06,335.26,351.54,14013800,341.89
